cs1,cs2,cs3,n_images,agree_all_frac_mean,agree12_frac_mean,agree13_frac_mean,agree23_frac_mean,miou1_imgmean,miou2_imgmean,miou3_imgmean,miouE_imgmean,miou1_dataset,miou2_dataset,miou3_dataset,miouE_dataset,best_single_dataset,ensemble_gain_over_best_single
oklab,oklch,ycbcr_bt709,10,0.8669113207083898,0.8821503410495527,0.9560140624102825,0.8955676128072436,7.828507696346305,7.8159916984152575,7.830464716896323,7.988020572956086,35.39255811487449,32.661160784563286,34.730908314849835,35.3361503870947,35.39255811487449,-0.05640772777979208
jzazbz,oklab,ycbcr_bt709,10,0.9265835623298406,0.9571108843144291,0.9399997939030333,0.9560140624102825,7.943999943381203,7.828507696346305,7.830464716896323,7.89383306434569,35.48254059634142,35.39255811487449,34.730908314849835,35.33111087368835,35.48254059634142,-0.1514297226530701
hsv_conic,oklab,ycbcr_bt709,10,0.930404257129425,0.9508756460092446,0.9538996441626763,0.9560140624102825,7.91775324491911,7.828507696346305,7.830464716896323,7.939254060729449,34.595471137060706,35.39255811487449,34.730908314849835,35.32660285954694,35.39255811487449,-0.06595525532755175
c16,oklab,srgb_linear,10,0.8688006077766566,0.9387300436517169,0.8915819483184491,0.9067578798705721,7.832689776667282,7.828507696346305,7.496828610605661,8.06889112471676,33.256139919264164,35.39255811487449,31.15979519695565,35.324004956065856,35.39255811487449,-0.06855315880863344
ictcp_pq,jzazbz,srgb_linear,10,0.8320809586741895,0.9107417779428364,0.8498279690270133,0.9016544266659547,7.286426627201346,7.943999943381203,7.496828610605661,7.886855253590648,32.70964465056424,35.48254059634142,31.15979519695565,35.30930948516563,35.48254059634142,-0.17323111117579515
oklab,srgb_linear,ycbcr_bt709,10,0.897609724277704,0.9067578798705721,0.9560140624102825,0.9320252787296435,7.828507696346305,7.496828610605661,7.830464716896323,7.893686430585494,35.39255811487449,31.15979519695565,34.730908314849835,35.29493211041289,35.39255811487449,-0.09762600446160263
jzazbz,jzczhz,oklab,10,0.8838845471379629,0.9100334886716965,0.9571108843144291,0.8990338981361082,7.943999943381203,7.6139420129962785,7.828507696346305,7.922372844640779,35.48254059634142,32.057920716895914,35.39255811487449,35.28840686931399,35.48254059634142,-0.1941337270274346
cielab,jzazbz,oklch,10,0.8617410469677687,0.947718662042884,0.8818726509016935,0.8927790572384648,7.573457329032071,7.943999943381203,7.8159916984152575,7.939604955185267,32.833098980563705,35.48254059634142,32.661160784563286,35.27998641309284,35.48254059634142,-0.20255418324858
jzazbz,oklab,oklch,10,0.8660519153531194,0.9571108843144291,0.8927790572384648,0.8821503410495527,7.943999943381203,7.828507696346305,7.8159916984152575,7.927963903757397,35.48254059634142,35.39255811487449,32.661160784563286,35.27662099707399,35.48254059634142,-0.20591959926743186
cielab,ictcp_pq,oklch,10,0.8016150533887674,0.8799639094442494,0.8818726509016935,0.8397021995254036,7.573457329032071,7.286426627201346,7.8159916984152575,7.984712501283099,32.833098980563705,32.70964465056424,32.661160784563286,35.272908091299946,32.833098980563705,2.439809110736242
ictcp_pq,oklab,ycbcr_bt709,10,0.8637651064187477,0.8949742503955356,0.8760256573171065,0.9560140624102825,7.286426627201346,7.828507696346305,7.830464716896323,7.880158910898618,32.70964465056424,35.39255811487449,34.730908314849835,35.257825144942906,35.39255811487449,-0.13473296993158357
